symbol,start,end
IFCI,1998-08-01,2004-12-10
IFCI,2009-10-22,2022-05-04
IFCI,2026-05-30,
IGARASHI,2016-04-01,2018-04-02
IGIL,2026-05-30,
IGL,2004-12-10,
IGPL,1998-08-01,2002-03-29
IGS,2001-10-11,2008-01-28
IIFL,2018-04-02,2018-12-28
IIFL,2019-09-27,
IKS,2026-05-30,
IL&FSENGG,2011-05-18,2015-03-27
IL&FSENGG,2015-09-28,2016-04-01
IL&FSTRANS,2013-04-01,2019-03-29
IMAGICAA,2015-09-28,2016-04-01
IMFA,2013-04-01,2015-03-27
INDGN,2026-05-30,
INDIAGLYCO,1998-08-01,2002-09-19
INDIAGLYCO,2006-03-02,2014-09-19
INDIAMART,2019-12-27,
INDIANB,2011-10-10,
INDIANCARD,1998-08-01,2008-09-10
INDIGO,2016-09-30,
INDIGOPNTS,2022-05-04,2026-05-30
INDNIPPON,2002-09-19,2008-09-10
INDOCO,2016-04-01,2019-09-27
INDOCO,2020-06-26,2023-04-04
INDOGULF,1998-08-01,2003-03-05
INDORAMA,1998-08-01,2003-05-23
INDOSTAR,2019-03-29,2022-05-04
INDRAMEDCO,2002-04-23,2014-09-19
INDSWFTLAB,2005-04-25,2013-04-01
INDUSINDBK,1999-12-08,
INDUSTOWER,2013-06-11,
INDYESTUF,1998-08-01,2001-04-25
INFOMEDIA,1998-08-01,2006-08-10
INFY,1998-08-01,
INGERRAND,1998-08-01,2017-03-31
INGERRAND,2017-09-29,2018-04-02
INGERRAND,2020-06-26,2022-05-04
INGERRAND,2023-04-04,2026-05-30
INGVYSYABK,1999-02-03,2015-02-02
INOXWIND,2015-09-28,2019-09-27
INOXWIND,2026-05-30,
INTELLECT,2016-04-01,
IOB,2002-04-23,
IOC,2002-07-09,
IONEXCHANG,1998-08-01,2002-09-19
IPCALAB,1998-08-01,
IPITATASPO,2022-05-04,2022-10-09
IRB,2009-03-27,
IRCON,2019-03-29,2022-10-09
IRCON,2024-02-26,
IRCTC,2020-06-26,
IREDA,2026-05-30,
IRFC,2022-05-04,
ITCHOTELS,1998-08-01,2005-04-08
ITCHOTELS,2026-05-30,
ITDC,2017-09-29,2022-05-04
ITI,1998-08-01,2004-12-10
ITI,2017-09-29,
IVRCLINFRA,2002-09-19,2016-04-01
J&KBANK,2002-01-17,2022-05-04
J&KBANK,2026-05-30,
JAGRAN,2007-04-04,2022-05-04
JAGSNPHARM,2002-04-23,2007-09-24
JAIBALAJI,2011-12-07,2013-04-01
JAICORPLTD,2009-03-27,2022-05-04
JAINREC,2026-05-30,
JAMNAAUTO,2019-03-29,2026-05-30
JAYSREETEA,1998-08-01,2012-09-28
JBMA,2022-10-09,
JDORGO,1998-08-01,2000-09-03
JINDALPHOT,1998-08-01,2002-09-19
JINDALPHOT,2003-04-01,2004-12-22
JINDALPOLY,2003-08-04,2013-07-17
JINDALPOLY,2016-04-01,2018-09-28
JINDALSAW,1998-08-01,2011-11-22
JINDALSAW,2012-03-07,2016-04-29
JINDALSAW,2017-09-29,2022-05-04
JINDALSAW,2024-02-26,
JINDALSTEL,2001-04-25,
JINDWORLD,2023-04-04,2024-02-26
JIOFIN,2026-05-30,
JISLJALEQS,1998-08-01,2000-12-20
JISLJALEQS,2003-04-07,2020-06-26
JKCEMENT,2015-03-27,
JKIL,2012-04-12,2019-03-29
JKLAKSHMI,1998-08-01,2003-01-21
JKLAKSHMI,2013-09-27,2026-05-30
JKPAPER,2019-03-29,2026-05-30
JKTYRE,1998-08-01,2002-09-19
JKTYRE,2011-03-25,2022-05-04
JKTYRE,2026-05-30,
JMFINANCIL,2007-09-24,
JPPOWER,2010-10-07,2017-03-31
JPPOWER,2017-09-29,2019-03-29
JPPOWER,2026-05-30,
JSL,2005-02-21,2015-06-15
JSL,2017-09-29,
JSWCEMENT,2026-05-30,
JSWDULUX,2026-05-30,
JSWENERGY,2010-05-26,
JSWHL,2010-04-08,2017-03-31
JSWINFRA,2026-05-30,
JSWISPAT,1998-08-01,2005-12-08
JSWISPAT,2009-10-22,2013-06-11
JSWISPL,2004-12-10,2015-09-28
JSWSTEEL,2004-01-28,2005-02-21
JSWSTEEL,2005-10-06,
JTEKTINDIA,1998-08-01,2002-03-29
JTEKTINDIA,2004-12-10,2013-04-01
JTEKTINDIA,2014-03-28,2016-04-01
JTEKTINDIA,2020-09-14,
JUBLFOOD,2010-10-07,
JUBLINGREA,2022-05-04,
JUBLPHARMA,2002-04-23,2002-09-19
JUBLPHARMA,2003-09-09,2010-11-25
JUBLPHARMA,2011-10-10,
JUSTDIAL,2014-03-28,2026-05-30
JWL,2026-05-30,
JYOTHYLAB,2014-02-28,2026-05-30
JYOTICNC,2026-05-30,
JYOTISTRUC,1998-08-01,2016-04-01
KAJARIACER,1998-08-01,
KAKATCEM,2002-10-11,2007-09-24
KALYANKJIL,2022-05-04,
KANSAINER,1998-08-01,2026-05-30
KARURVYSYA,2001-08-31,
KAYNES,2024-02-26,
KCP,2002-11-11,2016-04-01
KEC,2009-10-22,
KEI,2019-03-29,
KENNAMET,1998-08-01,2002-09-19
KENNAMET,2019-12-27,2020-06-26
KENNAMET,2023-04-04,2024-02-26
KESORAMIND,1998-08-01,2015-09-28
KESORAMIND,2016-04-01,2018-09-28
KFINTECH,2023-04-04,
KGL,2010-04-08,2014-03-28
KIMS,2022-05-04,
KIOCL,2018-06-29,2019-09-27
KIRLOSBROS,2006-09-13,2010-03-09
KIRLOSENG,2016-04-01,2016-09-30
