symbol,entry_date,entry_price,exit_date,exit_price,qty,pnl_rs,pnl_pct,hold_days,status
FINEORG,2019-08-31,1412.313720703125,2020-06-30,1841.9384765625,254.24039521791198,109227.96772508645,0.30419923672870985,304,closed
BRIGADE,2019-08-31,146.69410705566406,2020-01-31,176.0035400390625,2447.727490423264,71741.5048421827,0.19979966183833664,153,closed
INDIGO,2019-08-31,1687.5980224609375,2019-11-30,1441.7635498046875,212.76820293948498,-52305.758967646274,-0.14567122583952918,91,closed
GODREJPROP,2019-08-31,900.6500244140625,2019-12-31,988.2999877929688,398.6756107144296,34943.90267918284,0.09731855993223215,122,closed
TORNTPOWER,2019-08-31,233.92198181152344,2019-09-30,241.9156951904297,1534.9869890062378,12270.246030466184,0.034172561796039336,30,closed
KPIL,2019-08-31,405.8513488769531,2019-10-31,393.5362854003906,884.7258966043378,-10895.455576041091,-0.030343778604259852,61,closed
APOLLOHOSP,2019-08-31,1477.628662109375,2019-10-31,1460.6043701171875,243.00232374395014,-4136.942514197085,-0.011521360155456573,61,closed
WIPRO,2019-08-31,116.78488159179688,2019-09-30,110.08261108398438,3074.603438639472,-20606.823950012233,-0.057389881433790646,30,closed
PVRINOX,2019-08-31,1497.1319580078125,2019-09-30,1805.5509033203125,239.83670684649732,73970.18417281995,0.20600652044252898,30,closed
CANFINHOME,2019-09-30,370.9779357910156,2019-11-30,375.7418823242188,1040.4729533222048,4956.757518870993,0.012841589953443755,61,closed
SBILIFE,2019-09-30,836.2007446289062,2020-02-29,879.6704711914062,461.60268446203213,20065.742474080504,0.05198479771958486,152,closed
HDFCAMC,2019-09-30,1233.7186279296875,2020-06-30,1093.5343017578125,312.8691581139455,-43859.352110165266,-0.11362746982844818,274,closed
CGCL,2019-09-30,202.5139923095703,2019-12-31,191.2396545410156,1906.0041435547378,-21488.934502700966,-0.05567189526005867,92,closed
JKCEMENT,2019-09-30,1017.556884765625,2019-10-31,1082.1744384765625,379.3326095560342,24511.545272297124,0.06350264508880099,31,closed
PRESTIGE,2019-09-30,283.0245666503906,2019-10-31,296.1565856933594,1363.812735544809,17909.614814217734,0.04639886635420676,31,closed
OBEROIRLTY,2019-09-30,495.7643737792969,2019-10-31,495.0807495117188,778.5805694898288,-532.2565715679995,-0.0013789297975703718,31,closed
CREDITACC,2019-09-30,651.930419921875,2020-04-30,488.12933349609375,592.0762349394729,-96982.73052997177,-0.2512554736215723,213,closed
VAIBHAVGBL,2019-09-30,147.8113250732422,2019-10-31,140.72825622558594,2611.38656512679,-18496.630828637626,-0.047919662746724656,31,closed
HATHWAY,2019-09-30,20.799999237060547,2019-10-31,21.149999618530277,18557.332818652627,6495.073565589161,0.016826942034022574,31,closed
TRENT,2019-09-30,480.9331970214844,2019-10-31,538.3291625976562,802.5906942177879,46065.467857080046,0.11934290652347679,31,closed
JUSTDIAL,2019-09-30,690.25,2019-10-31,589.0,559.2068213978317,-56619.69066653046,-0.14668598333936977,31,closed
BAJFINANCE,2019-10-31,391.2144470214844,2020-02-29,433.78851318359375,1005.7171600458514,42817.468912160824,0.10882539355651999,121,closed
MANAPPURAM,2019-10-31,150.13845825195312,2020-03-31,84.88256072998047,2620.5882703756693,-171008.83961891825,-0.4346381219158666,152,closed
NAM-INDIA,2019-10-31,298.6353454589844,2020-05-31,212.1929626464844,1317.496701613284,-113887.55423506154,-0.2894579765152825,213,closed
PVRINOX,2019-10-31,1740.703125,2019-11-30,1774.4984130859375,226.02997431130336,7638.74809790755,0.019414733966159448,30,closed
MAHSCOOTER,2019-10-31,4069.316162109375,2020-01-31,3852.350341796875,96.6872729848068,-20977.833496927225,-0.05331751372201887,92,closed
KAJARIACER,2019-10-31,527.1181030273438,2019-11-30,506.1108093261719,746.419218705804,-15680.24775155207,-0.039853106126545135,30,closed
TITAN,2019-10-31,1301.5155029296875,2019-11-30,1133.8397216796875,302.3022635855695,-50688.76822035379,-0.1288311824734818,30,closed
KEI,2019-10-31,580.837890625,2019-12-31,450.7899169921875,677.3853582520067,-88092.59320921022,-0.22389719357474558,61,closed
BEML,2019-10-31,415.9488525390625,2019-12-31,395.2046508789063,945.912172195272,-19622.19285281511,-0.04987200116920165,61,closed
SIEMENS,2019-10-31,939.4260864257812,2019-12-31,849.006103515625,418.8206909649616,-37869.75971947166,-0.09625023641207964,61,closed
BERGEPAINT,2019-10-31,426.4098510742188,2019-12-31,417.1849670410156,922.7063625199253,-8511.859190945046,-0.021633843613049097,61,closed
HDFCLIFE,2019-10-31,614.5697021484375,2019-12-31,614.4224853515625,640.2057915512486,-94.24904597299876,-0.00023954450790586446,61,closed
ADANIGREEN,2019-11-30,137.10000610351562,2021-07-31,882.2999877929688,2811.0536561647386,2094797.1331020335,5.435448202145223,609,closed
TRENT,2019-11-30,517.408203125,2019-12-31,523.9180908203125,744.8576792749232,4848.939841070847,0.012581724943660832,31,closed
TIMKEN,2019-11-30,807.12109375,2020-01-31,932.0449829101562,477.49399241555324,59650.406583161064,0.1547771333539829,62,closed
ADANIENSOL,2019-11-30,310.1499938964844,2019-12-31,331.3999938964844,1242.6099661511685,26405.46178071233,0.06851523591224828,31,closed
AAVAS,2019-11-30,1773.25,2020-04-30,1188.0,217.3384877583508,-127197.34996057481,-0.3300437050613281,152,closed
MCX,2019-11-30,220.0864715576172,2020-05-31,248.4578399658203,1751.1093284831984,49681.367881438004,0.12891009705144785,183,closed
JKCEMENT,2019-11-30,1120.9739990234375,2020-04-30,1090.555908203125,343.804114772726,-10457.86478755392,-0.027135411567807965,152,closed
BPCL,2019-11-30,164.03111267089844,2020-01-31,146.52334594726562,2349.526666875256,-41134.96479460652,-0.10673442640579578,62,closed
LALPATHLAB,2019-11-30,747.70751953125,2020-02-29,776.4397583007812,515.4361342508715,14809.634079740204,0.03842710955688111,91,closed
BALRAMCHIN,2019-12-31,174.71923828125,2020-02-29,136.0409393310547,2271.1106231908107,-87842.69563273856,-0.22137401313491234,60,closed
EPL,2019-12-31,155.91744995117188,2020-02-29,151.4299774169922,2544.9795276963546,-11420.525730586984,-0.02878107957502518,60,closed
ASTRAZEN,2019-12-31,2577.642333984375,2020-02-29,2539.813720703125,153.94172919366662,-5823.402141514128,-0.01467566418447852,60,closed
IGL,2019-12-31,190.9187774658203,2020-03-31,172.99298095703125,2078.4059242543217,-37257.081660844626,-0.09389226532208583,91,closed
GUJENERGY,2019-12-31,226.53489685058597,2020-06-30,303.4928894042969,1751.6361657871741,134802.4030034601,0.33971804619784285,182,closed
NAUKRI,2019-12-31,493.6324768066406,2020-02-29,506.6116333007813,803.8505098030361,10433.301564628373,0.02629315756958328,60,closed
DIXON,2019-12-31,757.2647705078125,2021-08-31,4151.35302734375,523.9999714634284,1778502.1497263887,4.482036388091715,609,closed
TIINDIA,2019-12-31,473.81097412109375,2020-01-31,503.17822265625,837.4789521758522,24594.452531510487,0.061980937840521166,31,closed
ATGL,2019-12-31,161.9485626220703,2020-03-31,86.2072982788086,2450.2021611785312,-185581.4095842543,-0.4676871663258573,91,closed
ABBOTINDIA,2019-12-31,11722.6279296875,2020-02-29,14092.5693359375,33.8496385380826,80221.65995799768,0.20216809920650425,60,closed
SRF,2020-01-31,740.3609619140625,2020-04-30,728.8262329101562,569.251625595822,-6566.16323628091,-0.015579871977697723,90,closed
DEEPAKNTR,2020-01-31,373.4671325683594,2020-02-29,449.6988525390625,1128.483993220271,86026.27576258854,0.20411895270797276,29,closed
RELAXO,2020-01-31,723.13232421875,2020-07-31,584.9867553710938,582.8140535034028,-80513.17895363594,-0.19103774540421004,182,closed
HDFCLIFE,2020-01-31,588.0711669921875,2020-02-29,533.9944458007812,716.6678197349294,-38755.04587465877,-0.0919560832543328,29,closed
ADANIENSOL,2020-01-31,332.1000061035156,2020-02-29,251.8999938964844,1269.0505069304336,-101777.86614715993,-0.24149355836516562,29,closed
WHIRLPOOL,2020-01-31,2430.5576171875,2020-02-29,2141.43603515625,173.39711600210734,-50132.84849818545,-0.11895277856683961,29,closed
APLAPOLLO,2020-01-31,194.0450439453125,2020-03-31,122.96670532226562,2171.927056359367,-154376.9667764685,-0.366298139740579,60,closed
AUBANK,2020-02-29,578.556640625,2020-04-30,270.7708740234375,693.7245214505456,-213518.53364495825,-0.5319889963912079,61,closed
MASFIN,2020-02-29,335.575439453125,2020-04-30,201.7835235595703,1196.031894657408,-160019.39865601278,-0.39869400487589457,61,closed
TATACONSUM,2020-02-29,327.83447265625,2020-07-31,408.3472900390625,1224.2731076986443,98569.67714682929,0.2455898451754157,153,closed
ORIENTELEC,2020-02-29,251.22454833984372,2020-05-31,161.99386596679688,1597.6103103852556,-142555.85816189152,-0.355182974604616,92,closed
AMBER,2020-02-29,1369.2781982421875,2020-05-31,1245.8499755859375,293.1171541070751,-36178.92936149441,-0.09014108514595587,92,closed
PRESTIGE,2020-02-29,284.5435791015625,2020-03-31,166.30284118652344,1410.5358831743515,-166782.80368217666,-0.41554526827975,31,closed
AVANTIFEED,2020-02-29,430.0535278320313,2020-03-31,276.7360534667969,933.2766799354677,-143087.62345167715,-0.3565078866766478,31,closed
CANFINHOME,2020-02-29,471.7291564941406,2020-04-30,301.9708251953125,850.8249344443451,-144434.62109870685,-0.3598639790689654,61,closed
NH,2020-02-29,328.7950439453125,2020-03-31,244.63894653320312,1220.696406592948,-102729.04570384801,-0.25595305939619584,31,closed
NAVINFLUOR,2020-02-29,1397.50439453125,2021-03-31,2709.77880859375,287.19689914408957,376881.1425448771,0.9390127281157226,396,closed
BERGEPAINT,2020-02-29,458.4543762207031,2020-08-31,436.5729675292969,875.4610043386224,-19156.320029322378,-0.047728650496886904,184,closed
ICICIPRULI,2020-02-29,466.1086120605469,2020-03-31,351.7073669433594,861.0845589728718,-98509.14569768081,-0.24543902892385716,31,closed
BHARTIARTL,2020-02-29,494.2020568847656,2020-08-31,486.12353515625,812.1352856756711,-6560.852551825154,-0.01634659673300254,184,closed
VAIBHAVGBL,2020-03-31,138.03269958496094,2020-07-31,240.9164123535156,2127.7793989263723,218913.84451398876,0.7453575354094149,122,closed
MIDHANI,2020-03-31,168.23193359375,2020-08-31,196.16868591308597,1745.8227357970763,48772.617363428435,0.16606093577214787,153,closed
BRIGADE,2020-03-31,96.21863555908205,2020-04-30,88.38214874267578,3052.4558246799015,-23920.52982776656,-0.08144458473009997,30,closed
IPCALAB,2020-03-31,683.4379272460938,2020-12-31,1078.579345703125,429.74368680202826,169809.52997590762,0.578167237585496,275,closed
DEEPAKNTR,2020-03-31,378.5129089355469,2021-06-30,1777.8460693359375,775.9395455785748,1085797.93659411,3.696923215473924,456,closed
TRENT,2020-03-31,481.38037109375,2020-05-31,465.9754638671875,610.1269436635863,-9398.948963563673,-0.03200152758942132,61,closed
MUTHOOTFIN,2020-03-31,560.7970581054688,2020-04-30,789.0396728515625,523.7244566640293,119536.2393954753,0.40699681185411696,30,closed
WELCORP,2020-03-31,56.08858108520508,2020-04-30,58.890750885009766,5236.415842092769,14673.326331931188,0.04995971988572623,30,closed
ABBOTINDIA,2020-03-31,13852.43359375,2020-09-30,15000.8662109375,21.20227702716344,24349.386496639716,0.08290475528470709,183,closed
DMART,2020-04-30,2383.64990234375,2020-08-31,2251.25,141.2717047270685,-18704.359909798957,-0.055545028745020986,123,closed
