date,symbol,action,source
2011-10-10,BLKASHYAP,OUT,nse_inclexcl
2023-04-04,BLS,IN,snapshot_diff
1999-09-08,BLUEDART,IN,nse_inclexcl
2026-05-30,BLUEJET,IN,snapshot_diff
1998-08-01,BLUESTARCO,IN,nse_inclexcl
2022-05-04,BOMDYEING,OUT,snapshot_diff
1998-08-01,BOOTSPHARM,IN,nse_inclexcl
1999-12-08,BOOTSPHARM,OUT,nse_inclexcl
2022-05-04,BORORENEW,IN,snapshot_diff
2026-05-30,BORORENEW,OUT,snapshot_diff
2016-04-01,BOSCH-HCIL,IN,nse_inclexcl
2019-03-29,BOSCH-HCIL,OUT,nse_inclexcl
2019-09-27,BOSCH-HCIL,IN,nse_inclexcl
2005-03-04,BOSCHCHASY,IN,nse_inclexcl
2008-10-31,BOSCHCHASY,OUT,nse_inclexcl
1998-08-01,BOSCHLTD,IN,nse_inclexcl
1998-08-01,BPCL,IN,nse_inclexcl
1998-08-01,BPL,IN,nse_inclexcl
2011-03-25,BPL,OUT,nse_inclexcl
1998-08-01,BRABOURNE,IN,nse_inclexcl
2008-02-15,BRABOURNE,OUT,nse_inclexcl
2010-03-09,BRIGADE,IN,nse_inclexcl
2017-03-31,BRIGADE,OUT,nse_inclexcl
2017-09-29,BRIGADE,IN,nse_inclexcl
1998-08-01,BRITANNIA,IN,nse_inclexcl
2017-09-29,BSE,IN,nse_inclexcl
2002-09-19,BSL,IN,nse_inclexcl
2006-03-02,BSL,OUT,nse_inclexcl
2019-09-27,BSOFT,IN,nse_inclexcl
2022-05-04,CADILAHC,OUT,snapshot_diff
2015-09-28,CAMLINFINE,IN,nse_inclexcl
2016-04-01,CAMLINFINE,OUT,nse_inclexcl
2022-10-09,CAMPUS,IN,snapshot_diff
2026-05-30,CAMPUS,OUT,snapshot_diff
2022-05-04,CAMS,IN,snapshot_diff
2003-06-17,CANBK,IN,nse_inclexcl
2002-04-23,CANFINHOME,IN,nse_inclexcl
2026-05-30,CANHLIFE,IN,snapshot_diff
2009-03-27,CAPF,IN,nse_inclexcl
2018-12-28,CAPF,OUT,nse_inclexcl
2016-04-01,CAPLIPOINT,IN,nse_inclexcl
2023-04-04,CAPLIPOINT,OUT,snapshot_diff
2026-05-30,CAPLIPOINT,IN,snapshot_diff
1998-08-01,CARBORUNIV,IN,nse_inclexcl
2016-04-01,CARBORUNIV,OUT,nse_inclexcl
2016-09-30,CARBORUNIV,IN,nse_inclexcl
2022-05-04,CARERATING,OUT,snapshot_diff
2001-04-25,CAROLINFO,IN,nse_inclexcl
2012-03-09,CAROLINFO,OUT,nse_inclexcl
2026-05-30,CARTRADE,IN,snapshot_diff
2007-04-04,CASTEXTECH,IN,nse_inclexcl
2016-09-30,CASTEXTECH,OUT,nse_inclexcl
1998-08-01,CASTROLIND,IN,nse_inclexcl
2003-05-02,CASTROLIND,OUT,nse_inclexcl
2008-09-10,CASTROLIND,IN,nse_inclexcl
2014-02-28,CASTROLIND,OUT,nse_inclexcl
2014-07-28,CASTROLIND,IN,nse_inclexcl
2016-09-30,CCAVENUE,IN,nse_inclexcl
2018-04-02,CDSL,IN,nse_inclexcl
1998-08-01,CEATFIN,IN,nse_inclexcl
